priority,document_id,document_title,document_type,business_area,plant,owner_id,status,rule_id,rule_name,issue_description,recommended_action,target_resolution_days,data_quality_score,risk_category
Critical,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-006,Invalid Date Sequence,Expiration date is earlier than the effective date.,Correct the effective date or expiration date.,7,0,Critical Risk
Critical,DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10537,Operational Work Instruction - DOC-10537,Work Instruction,Supply Chain,CHI-01,OWN-039,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10537,Operational Work Instruction - DOC-10537,Work Instruction,Supply Chain,CHI-01,OWN-039,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10537,Operational Work Instruction - DOC-10537,Work Instruction,Supply Chain,CHI-01,OWN-039,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10540,Service Contract Agreement - DOC-10540,Contract,Compliance,QRO-01,OWN-021,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10540,Service Contract Agreement - DOC-10540,Contract,Compliance,QRO-01,OWN-021,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10540,Service Contract Agreement - DOC-10540,Contract,Compliance,QRO-01,OWN-021,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10549,Regulatory Compliance Document - DOC-10549,Compliance Document,Program Management,CHI-01,OWN-047,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10549,Regulatory Compliance Document - DOC-10549,Compliance Document,Program Management,CHI-01,OWN-047,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10549,Regulatory Compliance Document - DOC-10549,Compliance Document,Program Management,CHI-01,OWN-047,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10557,Regulatory Compliance Document - DOC-10557,Compliance Document,Supply Chain,CHI-01,OWN-006,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10557,Regulatory Compliance Document - DOC-10557,Compliance Document,Supply Chain,CHI-01,OWN-006,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10557,Regulatory Compliance Document - DOC-10557,Compliance Document,Supply Chain,CHI-01,OWN-006,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10568,Quality Inspection Record - DOC-10568,Quality Record,Supply Chain,QRO-01,OWN-007,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10568,Quality Inspection Record - DOC-10568,Quality Record,Supply Chain,QRO-01,OWN-007,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10568,Quality Inspection Record - DOC-10568,Quality Record,Supply Chain,QRO-01,OWN-007,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10568,Quality Inspection Record - DOC-10568,Quality Record,Supply Chain,QRO-01,OWN-007,Active,DQ-006,Invalid Date Sequence,Expiration date is earlier than the effective date.,Correct the effective date or expiration date.,7,0,Critical Risk
Critical,DOC-10574,Standard Operating Procedure - DOC-10574,SOP,Compliance,CHI-02,OWN-018,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10574,Standard Operating Procedure - DOC-10574,SOP,Compliance,CHI-02,OWN-018,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10574,Standard Operating Procedure - DOC-10574,SOP,Compliance,CHI-02,OWN-018,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
