audit_id,document_id,document_title,document_type,business_area,plant,owner_id,status,rule_id,rule_name,severity,issue_detected,issue_description,recommended_action,target_resolution_days,data_quality_score,risk_category,total_issues,critical_issues,high_issues,medium_issues,low_issues
AUD-000252,DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000253,DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000254,DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000265,DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000266,DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000267,DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000277,DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000278,DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000279,DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000373,DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,5,3,1,1,0
AUD-000375,DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,5,3,1,1,0
AUD-000376,DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,5,3,1,1,0
AUD-000398,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,5,4,0,1,0
AUD-000399,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,5,4,0,1,0
AUD-000400,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,5,4,0,1,0
AUD-000401,DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,DQ-006,Invalid Date Sequence,Critical,True,Expiration date is earlier than the effective date.,Correct the effective date or expiration date.,7,0,Critical Risk,5,4,0,1,0
AUD-000415,DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000416,DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000417,DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000480,DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000481,DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000482,DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000504,DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000505,DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000506,DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000512,DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,5,3,0,2,0
AUD-000513,DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,5,3,0,2,0
AUD-000514,DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,5,3,0,2,0
AUD-000517,DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000518,DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000519,DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000568,DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000569,DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000570,DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000593,DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,1,0,0
AUD-000595,DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,1,0,0
AUD-000596,DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,1,0,0
AUD-000619,DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000620,DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000621,DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000625,DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000626,DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000627,DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000640,DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,5,3,0,2,0
AUD-000641,DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,5,3,0,2,0
AUD-000642,DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,5,3,0,2,0
AUD-000668,DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000669,DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000670,DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000712,DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,1,0,0
AUD-000714,DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,1,0,0
AUD-000715,DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,1,0,0
AUD-000723,DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000724,DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000725,DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000741,DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000742,DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000743,DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000751,DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000752,DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000753,DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000765,DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000766,DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000767,DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000769,DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000770,DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000771,DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000805,DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000806,DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000807,DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000875,DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,5,3,0,2,0
AUD-000876,DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,5,3,0,2,0
AUD-000877,DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,5,3,0,2,0
AUD-000887,DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000888,DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000889,DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000903,DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000904,DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000905,DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000909,DOC-10537,Operational Work Instruction - DOC-10537,Work Instruction,Supply Chain,CHI-01,OWN-039,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000910,DOC-10537,Operational Work Instruction - DOC-10537,Work Instruction,Supply Chain,CHI-01,OWN-039,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
