document_id,document_title,document_type,business_area,plant,owner_id,status,approval_status,confidentiality_level,total_issues,critical_issues,high_issues,medium_issues,low_issues,total_penalty_points,data_quality_score,risk_category
DOC-10422,Regulatory Compliance Document - DOC-10422,Compliance Document,Engineering,ELP-01,OWN-012,Active,Pending,Restricted,4,3,1,0,0,110,0,Critical Risk
DOC-10608,Quality Inspection Record - DOC-10608,Quality Record,,CHI-02,OWN-006,Active,Missing,Restricted,6,3,0,2,1,115,0,Critical Risk
DOC-10300,Regulatory Compliance Document - DOC-10300,Compliance Document,Supply Chain,MTY-01,OWN-035,Active,Pending,Restricted,5,3,0,2,0,110,0,Critical Risk
DOC-10370,Regulatory Compliance Document - DOC-10370,Compliance Document,Engineering,QRO-01,OWN-036,Active,Pending,Restricted,5,3,0,2,0,110,0,Critical Risk
DOC-10521,Service Contract Agreement - DOC-10521,Contract,Finance,QRO-01,OWN-028,Active,Missing,Restricted,5,3,0,2,0,110,0,Critical Risk
DOC-10540,Service Contract Agreement - DOC-10540,Contract,Compliance,QRO-01,OWN-021,Active,Missing,Restricted,5,3,0,2,0,110,0,Critical Risk
DOC-10557,Regulatory Compliance Document - DOC-10557,Compliance Document,Supply Chain,CHI-01,OWN-006,Active,Pending,Confidential,5,3,0,2,0,110,0,Critical Risk
DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,Pending,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,Pending,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10248,Quality Inspection Record - DOC-10248,Quality Record,Operations,QRO-01,OWN-035,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10282,Non-Disclosure Agreement - DOC-10282,NDA,Compliance,MTY-01,OWN-039,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10295,Non-Disclosure Agreement - DOC-10295,NDA,Finance,ELP-01,OWN-004,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10301,Regulatory Compliance Document - DOC-10301,Compliance Document,Operations,MTY-01,OWN-036,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10329,Operational Work Instruction - DOC-10329,Work Instruction,Finance,ELP-01,OWN-003,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10359,Standard Operating Procedure - DOC-10359,SOP,Supply Chain,CHI-02,OWN-035,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10362,Standard Operating Procedure - DOC-10362,SOP,Engineering,CHI-01,OWN-001,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10385,Regulatory Compliance Document - DOC-10385,Compliance Document,Compliance,QRO-01,OWN-031,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10429,Non-Disclosure Agreement - DOC-10429,NDA,Operations,CHI-02,OWN-043,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10440,Quality Inspection Record - DOC-10440,Quality Record,Program Management,CHI-02,OWN-038,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10448,Standard Operating Procedure - DOC-10448,SOP,Program Management,CHI-01,OWN-045,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10456,Non-Disclosure Agreement - DOC-10456,NDA,Compliance,QRO-01,OWN-014,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10457,Service Contract Agreement - DOC-10457,Contract,Quality,CHI-01,OWN-031,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10482,Quality Inspection Record - DOC-10482,Quality Record,Engineering,MTY-01,OWN-024,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10528,Non-Disclosure Agreement - DOC-10528,NDA,Quality,CHI-02,OWN-048,Active,Pending,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10534,Non-Disclosure Agreement - DOC-10534,NDA,Supply Chain,CHI-02,OWN-001,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10537,Operational Work Instruction - DOC-10537,Work Instruction,Supply Chain,CHI-01,OWN-039,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10549,Regulatory Compliance Document - DOC-10549,Compliance Document,Program Management,CHI-01,OWN-047,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10578,Standard Operating Procedure - DOC-10578,SOP,Engineering,ELP-01,OWN-037,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10598,Standard Operating Procedure - DOC-10598,SOP,Program Management,MTY-01,OWN-001,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10601,Regulatory Compliance Document - DOC-10601,Compliance Document,Quality,MTY-01,OWN-018,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10607,Quality Inspection Record - DOC-10607,Quality Record,Supply Chain,QRO-01,OWN-016,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10652,Non-Disclosure Agreement - DOC-10652,NDA,Program Management,MTY-01,OWN-004,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10693,Standard Operating Procedure - DOC-10693,SOP,Compliance,ELP-01,OWN-044,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10702,Regulatory Compliance Document - DOC-10702,Compliance Document,Supply Chain,QRO-01,OWN-028,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10719,Service Contract Agreement - DOC-10719,Contract,Finance,QRO-01,OWN-041,Active,Pending,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10756,Quality Inspection Record - DOC-10756,Quality Record,Program Management,CHI-01,OWN-010,Active,Missing,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10776,Non-Disclosure Agreement - DOC-10776,NDA,Operations,CHI-01,OWN-032,Active,Pending,Restricted,4,3,0,1,0,100,0,Critical Risk
DOC-10810,Standard Operating Procedure - DOC-10810,SOP,Supply Chain,MTY-01,OWN-014,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10814,Service Contract Agreement - DOC-10814,Contract,Finance,MTY-01,OWN-035,Active,Missing,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10819,Service Contract Agreement - DOC-10819,Contract,Supply Chain,CHI-02,OWN-001,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10840,Non-Disclosure Agreement - DOC-10840,NDA,Program Management,CHI-01,OWN-048,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10973,Regulatory Compliance Document - DOC-10973,Compliance Document,Finance,ELP-01,OWN-034,Active,Pending,Confidential,4,3,0,1,0,100,0,Critical Risk
DOC-10980,Standard Operating Procedure - DOC-10980,SOP,Engineering,ELP-01,OWN-015,Active,Missing,Public,4,3,0,1,0,100,0,Critical Risk
DOC-10626,Service Contract Agreement - DOC-10626,Contract,Supply Chain,CHI-01,OWN-019,Active,Pending,Internal,5,2,1,2,0,100,0,Critical Risk
DOC-10880,Quality Inspection Record - DOC-10880,Quality Record,Engineering,QRO-01,OWN-050,Active,Pending,Public,5,2,1,2,0,100,0,Critical Risk
DOC-10955,Service Contract Agreement - DOC-10955,Contract,Supply Chain,CHI-02,,Active,Pending,Public,5,2,1,2,0,100,0,Critical Risk
DOC-10373,Quality Inspection Record - DOC-10373,Quality Record,,MTY-01,OWN-029,Active,Missing,Restricted,4,3,0,0,1,95,5,Critical Risk
DOC-10485,Service Contract Agreement - DOC-10485,Contract,,ELP-01,OWN-030,Active,Missing,Internal,5,2,1,1,1,95,5,Critical Risk
DOC-10070,Non-Disclosure Agreement - DOC-10070,NDA,Engineering,CHI-02,OWN-005,Active,Pending,Confidential,3,3,0,0,0,90,10,Critical Risk
DOC-10186,Service Contract Agreement - DOC-10186,Contract,Program Management,QRO-01,OWN-018,Active,Pending,Confidential,3,3,0,0,0,90,10,Critical Risk
DOC-10531,Quality Inspection Record - DOC-10531,Quality Record,Supply Chain,CHI-02,OWN-029,Active,Missing,Restricted,3,3,0,0,0,90,10,Critical Risk
DOC-10882,Quality Inspection Record - DOC-10882,Quality Record,Compliance,CHI-01,OWN-020,Active,Missing,Restricted,3,3,0,0,0,90,10,Critical Risk
DOC-10949,Quality Inspection Record - DOC-10949,Quality Record,Quality,QRO-01,OWN-020,Active,Missing,Internal,3,3,0,0,0,90,10,Critical Risk
DOC-10014,Standard Operating Procedure - DOC-10014,SOP,Operations,QRO-01,OWN-023,Active,Pending,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10032,Non-Disclosure Agreement - DOC-10032,NDA,Program Management,MTY-01,OWN-012,Active,Pending,Restricted,4,2,1,1,0,90,10,Critical Risk
DOC-10052,Non-Disclosure Agreement - DOC-10052,NDA,Operations,QRO-01,OWN-019,Active,Pending,Confidential,4,2,1,1,0,90,10,Critical Risk
DOC-10267,Operational Work Instruction - DOC-10267,Work Instruction,Compliance,CHI-02,OWN-019,Active,Missing,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10532,Standard Operating Procedure - DOC-10532,SOP,Compliance,MTY-01,OWN-027,Active,Pending,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10641,Service Contract Agreement - DOC-10641,Contract,Compliance,CHI-02,,Active,Pending,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10659,Operational Work Instruction - DOC-10659,Work Instruction,Compliance,ELP-01,,Active,Missing,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10700,Operational Work Instruction - DOC-10700,Work Instruction,Supply Chain,CHI-02,OWN-027,Active,Pending,Confidential,4,2,1,1,0,90,10,Critical Risk
DOC-10811,Standard Operating Procedure - DOC-10811,SOP,Compliance,ELP-01,OWN-019,Active,Pending,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10829,Non-Disclosure Agreement - DOC-10829,NDA,Compliance,QRO-01,OWN-002,Active,Missing,Internal,4,2,1,1,0,90,10,Critical Risk
DOC-10666,Standard Operating Procedure - DOC-10666,SOP,Finance,CHI-01,OWN-044,Active,Pending,Public,5,2,0,3,0,90,10,Critical Risk
DOC-10098,Service Contract Agreement - DOC-10098,Contract,Quality,CHI-02,OWN-030,Active,Pending,Confidential,3,2,1,0,0,80,20,Critical Risk
DOC-10102,Regulatory Compliance Document - DOC-10102,Compliance Document,Operations,CHI-01,OWN-002,Active,Approved,Confidential,3,2,1,0,0,80,20,Critical Risk
DOC-10109,Service Contract Agreement - DOC-10109,Contract,Engineering,CHI-01,OWN-047,Active,Approved,Internal,3,2,1,0,0,80,20,Critical Risk
DOC-10757,Service Contract Agreement - DOC-10757,Contract,Quality,CHI-01,OWN-030,Active,Approved,Restricted,3,2,1,0,0,80,20,Critical Risk
DOC-10099,Quality Inspection Record - DOC-10099,Quality Record,Supply Chain,CHI-02,OWN-036,Active,Missing,Confidential,4,2,0,2,0,80,20,Critical Risk
DOC-10558,Operational Work Instruction - DOC-10558,Work Instruction,Finance,QRO-01,OWN-026,Active,Rejected,Restricted,4,2,0,2,0,80,20,Critical Risk
DOC-10616,Non-Disclosure Agreement - DOC-10616,NDA,Operations,CHI-02,OWN-040,Active,Missing,Internal,4,2,0,2,0,80,20,Critical Risk
DOC-10628,Standard Operating Procedure - DOC-10628,SOP,Quality,CHI-02,OWN-038,Active,Pending,Public,4,2,0,2,0,80,20,Critical Risk
DOC-10713,Operational Work Instruction - DOC-10713,Work Instruction,Compliance,CHI-02,OWN-013,Active,Missing,Public,4,2,0,2,0,80,20,Critical Risk
DOC-10909,Operational Work Instruction - DOC-10909,Work Instruction,Quality,ELP-01,OWN-048,Active,Missing,Restricted,4,2,0,2,0,80,20,Critical Risk
DOC-10106,Standard Operating Procedure - DOC-10106,SOP,Compliance,CHI-02,OWN-023,Active,Approved,Confidential,4,1,2,1,0,80,20,Critical Risk
DOC-10715,Non-Disclosure Agreement - DOC-10715,NDA,Engineering,MTY-01,OWN-019,Active,Approved,Restricted,4,1,2,1,0,80,20,Critical Risk
DOC-10737,Regulatory Compliance Document - DOC-10737,Compliance Document,Engineering,CHI-02,OWN-023,Active,Approved,Internal,4,1,2,1,0,80,20,Critical Risk
DOC-10841,Regulatory Compliance Document - DOC-10841,Compliance Document,Quality,QRO-01,OWN-012,Active,Approved,Internal,4,1,2,1,0,80,20,Critical Risk
DOC-10975,Quality Inspection Record - DOC-10975,Quality Record,Engineering,CHI-01,OWN-012,Active,Approved,Internal,4,1,2,1,0,80,20,Critical Risk
DOC-10061,Operational Work Instruction - DOC-10061,Work Instruction,,ELP-01,OWN-026,Active,Approved,Confidential,4,2,0,1,1,75,25,Critical Risk
DOC-10507,Operational Work Instruction - DOC-10507,Work Instruction,Finance,,OWN-001,Active,Missing,Internal,4,2,0,1,1,75,25,Critical Risk
DOC-10519,Regulatory Compliance Document - DOC-10519,Compliance Document,Engineering,,OWN-041,Active,Pending,Confidential,4,2,0,1,1,75,25,Critical Risk
DOC-10643,Regulatory Compliance Document - DOC-10643,Compliance Document,,CHI-01,OWN-014,Active,Missing,Restricted,4,2,0,1,1,75,25,Critical Risk
DOC-10763,Quality Inspection Record - DOC-10763,Quality Record,,CHI-01,OWN-032,Active,Missing,Internal,4,2,0,1,1,75,25,Critical Risk
DOC-10855,Non-Disclosure Agreement - DOC-10855,NDA,Finance,,OWN-024,Active,Missing,Internal,4,2,0,1,1,75,25,Critical Risk
DOC-10011,Regulatory Compliance Document - DOC-10011,Compliance Document,Compliance,ELP-01,OWN-011,Active,Missing,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10028,Regulatory Compliance Document - DOC-10028,Compliance Document,Quality,CHI-02,OWN-003,Active,Pending,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10029,Service Contract Agreement - DOC-10029,Contract,Engineering,CHI-01,OWN-017,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10034,Standard Operating Procedure - DOC-10034,SOP,Supply Chain,CHI-02,OWN-039,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10040,Operational Work Instruction - DOC-10040,Work Instruction,Program Management,QRO-01,OWN-006,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10056,Regulatory Compliance Document - DOC-10056,Compliance Document,Supply Chain,CHI-02,OWN-041,Active,Pending,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10088,Service Contract Agreement - DOC-10088,Contract,Program Management,QRO-01,OWN-049,Active,Missing,Public,3,2,0,1,0,70,30,Critical Risk
DOC-10095,Service Contract Agreement - DOC-10095,Contract,Quality,CHI-02,OWN-024,Active,Approved,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10124,Service Contract Agreement - DOC-10124,Contract,Operations,QRO-01,OWN-011,Active,Pending,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10129,Service Contract Agreement - DOC-10129,Contract,Finance,ELP-01,OWN-033,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10154,Service Contract Agreement - DOC-10154,Contract,Compliance,MTY-01,OWN-041,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10165,Quality Inspection Record - DOC-10165,Quality Record,Quality,CHI-02,OWN-018,Active,Pending,Public,3,2,0,1,0,70,30,Critical Risk
DOC-10169,Quality Inspection Record - DOC-10169,Quality Record,Supply Chain,CHI-01,OWN-049,Active,Pending,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10170,Operational Work Instruction - DOC-10170,Work Instruction,Quality,ELP-01,OWN-026,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10171,Quality Inspection Record - DOC-10171,Quality Record,Engineering,CHI-02,OWN-025,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10196,Regulatory Compliance Document - DOC-10196,Compliance Document,Engineering,MTY-01,OWN-049,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10215,Regulatory Compliance Document - DOC-10215,Compliance Document,Supply Chain,MTY-01,OWN-044,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10247,Operational Work Instruction - DOC-10247,Work Instruction,Quality,QRO-01,OWN-040,Active,Missing,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10274,Standard Operating Procedure - DOC-10274,SOP,Supply Chain,CHI-02,OWN-024,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10293,Quality Inspection Record - DOC-10293,Quality Record,Quality,CHI-02,OWN-041,Active,Pending,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10305,Service Contract Agreement - DOC-10305,Contract,Compliance,QRO-01,OWN-036,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10309,Operational Work Instruction - DOC-10309,Work Instruction,Operations,ELP-01,OWN-018,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10336,Quality Inspection Record - DOC-10336,Quality Record,Engineering,ELP-01,OWN-044,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10338,Quality Inspection Record - DOC-10338,Quality Record,Finance,ELP-01,OWN-001,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10348,Regulatory Compliance Document - DOC-10348,Compliance Document,Operations,CHI-02,OWN-029,Active,Pending,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10406,Non-Disclosure Agreement - DOC-10406,NDA,Compliance,ELP-01,OWN-022,Active,Missing,Public,3,2,0,1,0,70,30,Critical Risk
DOC-10446,Non-Disclosure Agreement - DOC-10446,NDA,Supply Chain,CHI-01,OWN-015,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10454,Service Contract Agreement - DOC-10454,Contract,Compliance,MTY-01,OWN-025,Active,Rejected,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10501,Operational Work Instruction - DOC-10501,Work Instruction,Compliance,CHI-01,OWN-004,Active,Approved,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10503,Quality Inspection Record - DOC-10503,Quality Record,Program Management,QRO-01,OWN-038,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10515,Operational Work Instruction - DOC-10515,Work Instruction,Program Management,QRO-01,OWN-021,Active,Missing,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10529,Standard Operating Procedure - DOC-10529,SOP,Compliance,CHI-02,OWN-024,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10573,Standard Operating Procedure - DOC-10573,SOP,Compliance,QRO-01,OWN-043,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10579,Standard Operating Procedure - DOC-10579,SOP,Quality,MTY-01,OWN-021,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10587,Quality Inspection Record - DOC-10587,Quality Record,Finance,QRO-01,OWN-036,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10621,Quality Inspection Record - DOC-10621,Quality Record,Compliance,CHI-01,OWN-018,Active,Rejected,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10650,Quality Inspection Record - DOC-10650,Quality Record,Quality,MTY-01,OWN-040,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10654,Quality Inspection Record - DOC-10654,Quality Record,Quality,QRO-01,OWN-047,Active,Approved,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10661,Regulatory Compliance Document - DOC-10661,Compliance Document,Supply Chain,QRO-01,OWN-008,Active,Pending,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10673,Regulatory Compliance Document - DOC-10673,Compliance Document,Quality,ELP-01,OWN-028,Active,Missing,Public,3,2,0,1,0,70,30,Critical Risk
DOC-10692,Service Contract Agreement - DOC-10692,Contract,Finance,ELP-01,OWN-038,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10716,Standard Operating Procedure - DOC-10716,SOP,Finance,QRO-01,OWN-036,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10722,Service Contract Agreement - DOC-10722,Contract,Finance,CHI-01,OWN-047,Active,Approved,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10725,Standard Operating Procedure - DOC-10725,SOP,Program Management,QRO-01,OWN-047,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10742,Non-Disclosure Agreement - DOC-10742,NDA,Compliance,QRO-01,OWN-037,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10753,Quality Inspection Record - DOC-10753,Quality Record,Engineering,CHI-01,OWN-011,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10772,Regulatory Compliance Document - DOC-10772,Compliance Document,Program Management,ELP-01,OWN-007,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10779,Non-Disclosure Agreement - DOC-10779,NDA,Compliance,CHI-02,OWN-008,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10808,Standard Operating Procedure - DOC-10808,SOP,Program Management,MTY-01,OWN-038,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10817,Regulatory Compliance Document - DOC-10817,Compliance Document,Program Management,ELP-01,OWN-018,Active,Pending,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10830,Quality Inspection Record - DOC-10830,Quality Record,Finance,CHI-01,OWN-013,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10856,Service Contract Agreement - DOC-10856,Contract,Quality,MTY-01,OWN-039,Active,Missing,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10890,Quality Inspection Record - DOC-10890,Quality Record,Operations,CHI-01,OWN-009,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10900,Standard Operating Procedure - DOC-10900,SOP,Finance,MTY-01,OWN-010,Active,Pending,Confidential,3,2,0,1,0,70,30,Critical Risk
DOC-10907,Standard Operating Procedure - DOC-10907,SOP,Program Management,CHI-01,OWN-020,Active,Approved,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10930,Operational Work Instruction - DOC-10930,Work Instruction,Supply Chain,CHI-02,OWN-026,Active,Approved,Restricted,3,2,0,1,0,70,30,Critical Risk
DOC-10937,Quality Inspection Record - DOC-10937,Quality Record,Operations,CHI-02,OWN-025,Active,Missing,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10968,Quality Inspection Record - DOC-10968,Quality Record,Quality,CHI-01,OWN-035,Active,Pending,Internal,3,2,0,1,0,70,30,Critical Risk
DOC-10998,Operational Work Instruction - DOC-10998,Work Instruction,Finance,CHI-01,OWN-018,Active,Pending,Public,3,2,0,1,0,70,30,Critical Risk
DOC-10059,Operational Work Instruction - DOC-10059,Work Instruction,Compliance,QRO-01,OWN-030,Active,Missing,Internal,4,1,1,2,0,70,30,Critical Risk
DOC-10104,Quality Inspection Record - DOC-10104,Quality Record,Supply Chain,QRO-01,OWN-023,Active,Approved,Internal,4,1,1,2,0,70,30,Critical Risk
DOC-10497,Non-Disclosure Agreement - DOC-10497,NDA,Quality,CHI-02,OWN-019,Active,Approved,Internal,4,1,1,2,0,70,30,Critical Risk
DOC-10835,Non-Disclosure Agreement - DOC-10835,NDA,Quality,CHI-02,OWN-002,Active,Approved,Internal,4,1,1,2,0,70,30,Critical Risk
DOC-10857,Quality Inspection Record - DOC-10857,Quality Record,Compliance,CHI-01,,Active,Approved,Restricted,4,1,1,2,0,70,30,Critical Risk
DOC-10745,Standard Operating Procedure - DOC-10745,SOP,Program Management,,OWN-040,Active,Approved,Internal,3,2,0,0,1,65,35,Critical Risk
DOC-10358,Regulatory Compliance Document - DOC-10358,Compliance Document,,CHI-01,OWN-022,Active,Approved,Confidential,4,1,1,1,1,65,35,Critical Risk
