document_id,document_type,document_title,business_area,plant,owner_id,status,version,effective_date,expiration_date,last_review_date,next_review_date,approval_status,confidentiality_level,file_reference,created_date,updated_date
DOC-10011,Compliance Document,Regulatory Compliance Document - DOC-10011,Compliance,ELP-01,OWN-011,Active,v4.0,2026-06-09,2028-09-01,2026-09-26,2027-05-24,Missing,Confidential,,2026-05-13,2026-11-13
DOC-10012,Work Instruction,Operational Work Instruction - DOC-10012,Program Management,CHI-02,OWN-003,Draft,v4.5,2024-08-31,2024-08-01,2024-11-24,,Rejected,Internal,SAP/DOCS/DOC-10012.pdf,2025-03-04,2025-06-22
DOC-10013,Contract,Service Contract Agreement - DOC-10013,Supply Chain,CHI-01,OWN-050,Active,v4.8,2024-05-18,2025-10-16,2024-11-06,2025-05-22,Approved,Confidential,SAP/DOCS/DOC-10013.pdf,2024-04-22,2025-03-28
DOC-10014,SOP,Standard Operating Procedure - DOC-10014,Operations,QRO-01,OWN-023,Active,v5.8,2024-09-20,2025-07-08,2025-08-21,2025-10-25,Pending,Internal,SAP/DOCS/DOC-10014.pdf,2024-09-17,2025-01-14
DOC-10015,Contract,Service Contract Agreement - DOC-10015,Supply Chain,ELP-01,OWN-047,Active,v2.5,2025-09-03,2027-08-16,2026-07-05,2027-06-25,Missing,Confidential,SAP/DOCS/DOC-10015.pdf,2025-09-02,2026-11-18
DOC-10016,Quality Record,Quality Inspection Record - DOC-10016,Operations,MTY-01,OWN-027,Active,v5.2,2023-12-24,2025-11-22,2024-06-29,2025-06-14,Approved,Confidential,SAP/DOCS/DOC-10016.pdf,2023-12-04,2024-06-18
DOC-10017,Compliance Document,Regulatory Compliance Document - DOC-10017,Finance,ELP-01,OWN-036,Draft,v2.6,2024-04-23,2026-05-25,2024-10-24,2025-08-03,Pending,Internal,SAP/DOCS/DOC-10017.pdf,2025-03-04,2025-10-29
DOC-10018,Work Instruction,Operational Work Instruction - DOC-10018,Program Management,CHI-02,OWN-006,Active,v5.5,2024-07-06,2026-05-01,2024-10-30,,Approved,Confidential,SAP/DOCS/DOC-10018.pdf,2024-06-03,2024-09-07
DOC-10019,Compliance Document,Regulatory Compliance Document - DOC-10019,Finance,CHI-02,OWN-031,Active,v4.6,2024-05-14,2024-12-05,2024-07-06,2025-03-05,Approved,Confidential,SAP/DOCS/DOC-10019.pdf,2024-05-04,2026-02-08
DOC-10020,Compliance Document,Regulatory Compliance Document - DOC-10020,Quality,QRO-01,OWN-045,Expired,v1.6,2026-01-25,2027-03-30,2026-05-10,2027-04-22,Approved,Confidential,SAP/DOCS/DOC-10020.pdf,2025-12-30,2026-08-12
DOC-10021,Work Instruction,Operational Work Instruction - DOC-10021,Program Management,QRO-01,,Active,v3.7,2024-08-23,2026-06-01,2024-11-29,2025-09-23,Approved,Confidential,SAP/DOCS/DOC-10021.pdf,2024-08-15,2026-05-05
DOC-10022,Work Instruction,Operational Work Instruction - DOC-10022,Compliance,CHI-02,OWN-017,Draft,v3.8,2026-05-18,2027-04-25,2027-02-15,2027-12-07,Pending,Confidential,SAP/DOCS/DOC-10022.pdf,2026-04-19,2027-08-29
DOC-10023,SOP,Standard Operating Procedure - DOC-10023,Supply Chain,MTY-01,OWN-035,Active,v4.2,2024-11-14,2026-02-15,2025-06-03,,Approved,Internal,SAP/DOCS/DOC-10023.pdf,2024-10-29,2025-06-06
DOC-10024,Work Instruction,Operational Work Instruction - DOC-10024,Operations,CHI-01,OWN-025,Active,v1.9,2025-11-29,2026-07-30,2026-04-13,2027-01-25,Missing,Confidential,SAP/DOCS/DOC-10024.pdf,2025-11-02,2026-11-27
DOC-10025,SOP,Standard Operating Procedure - DOC-10025,Engineering,MTY-01,OWN-015,Active,v4.0,2025-06-26,2027-06-27,2026-05-01,2025-10-25,Approved,Internal,SAP/DOCS/DOC-10025.pdf,2025-05-30,2026-07-03
DOC-10026,Compliance Document,Regulatory Compliance Document - DOC-10026,,MTY-01,OWN-026,Active,v1.6,2025-11-14,2028-02-09,2026-09-13,2025-10-25,Approved,Confidential,SAP/DOCS/DOC-10026.pdf,2025-11-05,2026-03-24
DOC-10027,Contract,Service Contract Agreement - DOC-10027,Operations,CHI-01,OWN-022,Active,v4.4,2025-05-29,2026-06-29,2026-02-15,2026-11-05,Pending,Internal,SAP/DOCS/DOC-10027.pdf,2025-05-08,2025-07-31
DOC-10028,Compliance Document,Regulatory Compliance Document - DOC-10028,Quality,CHI-02,OWN-003,Active,v2.0,2025-03-24,2027-07-17,2025-05-28,2026-05-09,Pending,Restricted,SAP/DOCS/DOC-10028.pdf,2025-03-09,2026-12-06
DOC-10029,Contract,Service Contract Agreement - DOC-10029,Engineering,CHI-01,OWN-017,Active,v5.1,2023-12-20,2025-01-26,2024-09-13,2025-09-07,Pending,Internal,SAP/DOCS/DOC-10029.pdf,2023-11-13,2024-04-29
DOC-10030,Quality Record,Quality Inspection Record - DOC-10030,Program Management,QRO-01,OWN-046,Active,v2.1,2025-01-27,2027-06-19,2025-09-06,2026-06-14,Approved,Confidential,SAP/DOCS/DOC-10030.pdf,2024-12-21,2025-10-26
DOC-10031,NDA,Non-Disclosure Agreement - DOC-10031,Program Management,MTY-01,OWN-043,Obsolete,v3.0,2026-05-29,2027-11-15,2027-03-27,2028-01-10,Approved,Internal,SAP/DOCS/DOC-10031.pdf,2026-05-26,2027-07-31
DOC-10032,NDA,Non-Disclosure Agreement - DOC-10032,Program Management,MTY-01,OWN-012,Active,v3.9,2025-05-14,2027-02-23,2025-08-30,2026-06-17,Pending,Restricted,SAP/DOCS/DOC-10032.pdf,2025-04-03,2026-10-07
DOC-10033,Work Instruction,Operational Work Instruction - DOC-10033,Supply Chain,MTY-01,OWN-029,Active,v5.6,2024-10-14,2025-12-19,2024-12-27,2025-09-04,Approved,Internal,SAP/DOCS/DOC-10033.pdf,2024-09-23,2025-09-03
DOC-10034,SOP,Standard Operating Procedure - DOC-10034,Supply Chain,CHI-02,OWN-039,Active,v1.8,2024-06-23,2025-09-10,2025-01-13,2025-09-21,Pending,Internal,SAP/DOCS/DOC-10034.pdf,2024-05-31,2024-12-13
DOC-10035,Compliance Document,Regulatory Compliance Document - DOC-10035,Operations,CHI-02,OWN-046,Active,v1.4,2026-05-20,2028-10-23,2027-02-17,2025-10-25,Approved,Confidential,SAP/DOCS/DOC-10035.pdf,2026-05-04,2026-12-17
DOC-10036,SOP,Standard Operating Procedure - DOC-10036,Engineering,ELP-01,OWN-028,Expired,v3.7,2025-05-18,2027-06-03,2026-03-15,2026-12-08,Missing,Confidential,SAP/DOCS/DOC-10036.pdf,2025-04-17,2026-01-20
DOC-10037,Contract,Service Contract Agreement - DOC-10037,Finance,ELP-01,OWN-012,Active,v3.9,2024-05-12,2025-03-10,2025-03-12,2026-03-03,Approved,Confidential,SAP/DOCS/DOC-10037.pdf,2024-04-21,2025-10-11
DOC-10038,NDA,Non-Disclosure Agreement - DOC-10038,Engineering,CHI-02,,Draft,v1.0,2024-12-04,2026-06-06,2025-04-04,2025-12-17,Pending,Internal,SAP/DOCS/DOC-10038.pdf,2024-11-19,2026-06-09
DOC-10039,Compliance Document,Regulatory Compliance Document - DOC-10039,Supply Chain,CHI-01,OWN-031,Draft,v1.4,2025-12-30,2026-07-10,2026-11-18,2027-07-28,Approved,Internal,SAP/DOCS/DOC-10039.pdf,2025-12-23,2027-04-27
DOC-10040,Work Instruction,Operational Work Instruction - DOC-10040,Program Management,QRO-01,OWN-006,Active,v4.9,2023-07-21,2024-06-17,2024-06-03,2025-02-15,Missing,Internal,SAP/DOCS/DOC-10040.pdf,2023-07-11,2025-03-13
DOC-10041,Contract,Service Contract Agreement - DOC-10041,Compliance,CHI-02,OWN-028,Obsolete,v5.1,2025-06-09,2027-03-04,2025-12-08,2026-11-03,Approved,Confidential,SAP/DOCS/DOC-10041.pdf,2025-05-11,2025-12-10
DOC-10042,SOP,Standard Operating Procedure - DOC-10042,Supply Chain,CHI-02,OWN-011,Active,,2024-02-24,2025-08-31,2025-01-01,2025-07-19,Approved,Internal,SAP/DOCS/DOC-10042.pdf,2024-02-08,2024-12-03
DOC-10043,SOP,Standard Operating Procedure - DOC-10043,Finance,CHI-02,OWN-041,Obsolete,v2.6,2025-10-13,2028-03-14,2026-03-11,2026-11-13,Approved,Confidential,SAP/DOCS/DOC-10043.pdf,2025-10-08,2026-02-03
DOC-10044,Compliance Document,Regulatory Compliance Document - DOC-10044,Operations,ELP-01,OWN-020,Active,v3.7,2024-09-28,2025-06-08,2024-11-27,,Approved,Confidential,SAP/DOCS/DOC-10044.pdf,2024-09-18,2025-01-24
DOC-10045,Compliance Document,Regulatory Compliance Document - DOC-10045,Supply Chain,CHI-01,OWN-006,Active,v3.9,2024-11-03,2026-11-05,2025-08-12,2026-05-31,Approved,Restricted,SAP/DOCS/DOC-10045.pdf,2024-10-01,2025-06-15
DOC-10046,Contract,Service Contract Agreement - DOC-10046,Finance,MTY-01,OWN-049,Pending Approval,v4.4,2023-06-18,2024-09-15,2024-05-08,2024-11-14,Pending,Internal,,2023-05-05,2023-11-07
DOC-10047,Compliance Document,Regulatory Compliance Document - DOC-10047,Engineering,MTY-01,OWN-021,Draft,v3.6,2023-10-27,2025-04-15,2024-06-22,2025-03-14,Approved,Restricted,SAP/DOCS/DOC-10047.pdf,2023-09-26,2025-02-15
DOC-10048,Quality Record,Quality Inspection Record - DOC-10048,Operations,CHI-01,OWN-050,Active,v1.8,2023-10-11,2024-12-22,2024-04-23,2024-11-18,Approved,Internal,SAP/DOCS/DOC-10048.pdf,2023-09-20,2025-01-06
DOC-10049,Contract,Service Contract Agreement - DOC-10049,Supply Chain,QRO-01,OWN-018,Active,v4.7,2026-02-17,2027-11-11,2026-04-14,2026-12-02,Approved,Restricted,SAP/DOCS/DOC-10049.pdf,2026-01-07,2026-05-12
DOC-10050,Contract,Service Contract Agreement - DOC-10050,Compliance,CHI-02,OWN-006,Active,v1.7,2025-01-24,2025-08-31,2025-12-02,2026-09-12,Approved,Confidential,SAP/DOCS/DOC-10050.pdf,2024-12-19,2025-04-19
DOC-10051,Work Instruction,Operational Work Instruction - DOC-10051,Finance,CHI-02,OWN-031,Pending Approval,v4.3,2024-12-13,2026-03-17,2025-08-12,2026-06-11,Approved,Confidential,SAP/DOCS/DOC-10051.pdf,2024-11-10,2026-07-17
DOC-10052,NDA,Non-Disclosure Agreement - DOC-10052,Operations,QRO-01,OWN-019,Active,,2025-08-11,2027-07-11,2026-01-24,2026-07-23,Pending,Confidential,SAP/DOCS/DOC-10052.pdf,2025-07-20,2025-12-20
DOC-10053,Work Instruction,Operational Work Instruction - DOC-10053,Supply Chain,ELP-01,OWN-013,Active,v4.3,2026-06-01,2027-12-19,2027-02-19,2027-11-08,Missing,Internal,SAP/DOCS/DOC-10053.pdf,2026-04-27,2027-06-22
DOC-10054,Compliance Document,Regulatory Compliance Document - DOC-10054,Program Management,MTY-01,OWN-032,Active,v5.5,2025-06-06,2027-10-13,2026-06-04,2025-10-25,Missing,Internal,SAP/DOCS/DOC-10054.pdf,2025-05-12,2025-08-23
DOC-10055,NDA,Non-Disclosure Agreement - DOC-10055,Compliance,MTY-01,OWN-010,Active,v3.5,2025-10-15,2026-09-07,2026-06-11,2027-05-24,Approved,Confidential,SAP/DOCS/DOC-10055.pdf,2025-10-14,2027-07-15
DOC-10056,Compliance Document,Regulatory Compliance Document - DOC-10056,Supply Chain,CHI-02,OWN-041,Active,v5.0,2025-03-09,2027-03-05,2025-10-19,,Pending,Confidential,SAP/DOCS/DOC-10056.pdf,2025-01-24,2026-10-19
DOC-10057,Compliance Document,Regulatory Compliance Document - DOC-10057,Supply Chain,CHI-01,OWN-049,Expired,v4.2,2024-11-16,2025-08-15,2025-07-26,,Approved,Restricted,SAP/DOCS/DOC-10057.pdf,2024-11-01,2025-09-04
DOC-10058,SOP,Standard Operating Procedure - DOC-10058,Supply Chain,QRO-01,OWN-016,Obsolete,v2.2,2024-12-06,2026-06-22,2025-08-13,2026-03-18,Approved,Confidential,,2024-11-13,2025-05-12
DOC-10059,Work Instruction,Operational Work Instruction - DOC-10059,Compliance,QRO-01,OWN-030,Active,,2024-08-30,2026-10-16,2024-12-11,2025-08-07,Missing,Internal,SAP/DOCS/DOC-10059.pdf,2024-07-29,2025-05-20
DOC-10060,Contract,Service Contract Agreement - DOC-10060,Supply Chain,CHI-02,OWN-045,Active,v2.6,2025-04-07,2026-08-06,2026-03-30,2027-01-12,Approved,Confidential,SAP/DOCS/DOC-10060.pdf,2025-02-28,2026-07-08
DOC-10061,Work Instruction,Operational Work Instruction - DOC-10061,,ELP-01,OWN-026,Active,v1.9,2025-01-02,2024-12-03,2025-02-12,2025-10-25,Approved,Confidential,SAP/DOCS/DOC-10061.pdf,2024-11-18,2026-04-11
DOC-10062,Contract,Service Contract Agreement - DOC-10062,Compliance,CHI-01,OWN-017,Expired,v2.1,2025-03-29,2027-07-08,2025-08-03,2026-07-07,Approved,Confidential,SAP/DOCS/DOC-10062.pdf,2025-03-14,2026-12-17
DOC-10063,SOP,Standard Operating Procedure - DOC-10063,Engineering,QRO-01,OWN-019,Obsolete,v2.2,2023-07-08,2025-01-11,2023-10-13,2024-05-03,Approved,Internal,SAP/DOCS/DOC-10063.pdf,2023-05-31,2024-12-04
DOC-10064,Quality Record,Quality Inspection Record - DOC-10064,Engineering,CHI-01,OWN-008,Pending Approval,v2.6,2024-03-11,2026-01-13,2024-09-08,2025-06-01,Approved,Public,SAP/DOCS/DOC-10064.pdf,2024-02-23,2025-09-16
DOC-10065,Work Instruction,Operational Work Instruction - DOC-10065,Quality,MTY-01,OWN-048,Active,v3.1,2026-04-03,2028-01-08,2026-11-07,2027-10-25,Approved,Confidential,SAP/DOCS/DOC-10065.pdf,2026-03-26,2028-02-16
DOC-10066,NDA,Non-Disclosure Agreement - DOC-10066,Quality,CHI-01,OWN-005,Expired,v3.6,2026-06-06,2028-08-18,2026-10-27,2027-10-07,Approved,Internal,,2026-05-16,2026-09-13
DOC-10067,NDA,Non-Disclosure Agreement - DOC-10067,Compliance,CHI-02,OWN-009,Active,v5.6,2026-01-03,2026-10-09,2026-06-02,2027-04-15,Approved,Internal,SAP/DOCS/DOC-10067.pdf,2025-12-26,2027-08-20
DOC-10068,Work Instruction,Operational Work Instruction - DOC-10068,Compliance,ELP-01,,Expired,v2.5,2026-01-29,2027-09-18,2026-07-21,2027-01-25,Approved,Internal,SAP/DOCS/DOC-10068.pdf,2025-12-20,2026-04-01
DOC-10069,Quality Record,Quality Inspection Record - DOC-10069,Compliance,QRO-01,OWN-008,Pending Approval,v1.3,2025-03-31,2026-11-08,2025-09-18,2026-05-04,Missing,Confidential,SAP/DOCS/DOC-10069.pdf,2025-03-27,2027-01-14
DOC-10070,NDA,Non-Disclosure Agreement - DOC-10070,Engineering,CHI-02,OWN-005,Active,v5.3,2025-02-20,2025-12-25,2026-01-05,2026-08-25,Pending,Confidential,SAP/DOCS/DOC-10070.pdf,2025-02-04,2025-10-01
DOC-10071,Quality Record,Quality Inspection Record - DOC-10071,Finance,ELP-01,OWN-008,Active,v1.5,2024-01-23,2026-01-25,2024-06-29,2025-02-08,Approved,Public,SAP/DOCS/DOC-10071.pdf,2024-01-14,2024-09-14
DOC-10072,NDA,Non-Disclosure Agreement - DOC-10072,Supply Chain,MTY-01,,Active,v3.8,2023-07-18,2025-03-20,2024-05-12,,Approved,Internal,SAP/DOCS/DOC-10072.pdf,2023-07-09,2025-03-08
DOC-10073,Quality Record,Quality Inspection Record - DOC-10073,Compliance,CHI-01,OWN-042,Active,v4.6,2023-08-02,2025-07-15,2024-02-02,2024-11-25,Missing,Restricted,SAP/DOCS/DOC-10073.pdf,2023-06-20,2024-08-30
DOC-10074,Work Instruction,Operational Work Instruction - DOC-10074,Operations,QRO-01,OWN-010,Obsolete,v5.8,2025-09-22,2026-06-11,2026-04-04,2027-03-05,Approved,Internal,SAP/DOCS/DOC-10074.pdf,2025-09-17,2026-08-16
DOC-10075,Quality Record,Quality Inspection Record - DOC-10075,Operations,CHI-02,OWN-008,Active,v5.3,2026-03-02,2027-11-12,2026-05-21,2027-05-15,Rejected,Confidential,SAP/DOCS/DOC-10075.pdf,2026-01-22,2027-04-08
DOC-10076,Work Instruction,Operational Work Instruction - DOC-10076,Supply Chain,CHI-01,OWN-028,Active,v2.7,2025-11-02,2027-06-30,2026-01-19,2026-10-06,Approved,Internal,SAP/DOCS/DOC-10076.pdf,2025-10-07,2025-12-15
DOC-10077,NDA,Non-Disclosure Agreement - DOC-10077,Program Management,MTY-01,OWN-036,Active,v4.5,2025-05-04,2027-05-23,2025-07-03,2026-05-29,Approved,Confidential,SAP/DOCS/DOC-10077.pdf,2025-04-25,2027-03-08
DOC-10078,Compliance Document,Regulatory Compliance Document - DOC-10078,Engineering,QRO-01,OWN-037,Active,v4.3,2024-12-11,2026-04-24,2025-07-09,2026-01-31,Approved,Internal,SAP/DOCS/DOC-10078.pdf,2024-11-02,2025-02-21
DOC-10079,SOP,Standard Operating Procedure - DOC-10079,Compliance,ELP-01,OWN-050,Active,v5.0,2024-11-20,2025-08-31,2025-07-27,2026-06-15,Pending,Confidential,SAP/DOCS/DOC-10079.pdf,2024-10-14,2026-06-30
DOC-10080,NDA,Non-Disclosure Agreement - DOC-10080,Compliance,QRO-01,OWN-010,Active,v2.0,2025-01-06,2026-06-29,2025-02-08,,Approved,Internal,SAP/DOCS/DOC-10080.pdf,2024-12-15,2025-03-19
DOC-10081,Contract,Service Contract Agreement - DOC-10081,Quality,CHI-02,OWN-047,Active,v5.1,2025-10-30,2026-10-06,2026-06-06,2027-02-20,Approved,Restricted,SAP/DOCS/DOC-10081.pdf,2025-10-08,2025-12-01
DOC-10082,Quality Record,Quality Inspection Record - DOC-10082,Operations,CHI-01,OWN-039,Active,v5.1,2023-09-25,2025-06-19,2024-05-29,2025-03-29,Approved,Internal,SAP/DOCS/DOC-10082.pdf,2023-09-07,2024-08-26
DOC-10083,SOP,Standard Operating Procedure - DOC-10083,Quality,CHI-02,OWN-015,Expired,v1.3,2026-01-17,2028-05-29,2026-07-23,2027-01-30,Approved,Confidential,SAP/DOCS/DOC-10083.pdf,2025-12-14,2026-10-19
DOC-10084,SOP,Standard Operating Procedure - DOC-10084,Program Management,ELP-01,OWN-009,Active,v5.8,2023-11-25,2025-10-14,2024-08-01,2025-03-13,Approved,Confidential,SAP/DOCS/DOC-10084.pdf,2023-11-24,2025-10-09
DOC-10085,NDA,Non-Disclosure Agreement - DOC-10085,Operations,CHI-01,OWN-021,Active,v4.4,2023-07-16,2024-01-31,2024-04-06,2024-10-22,Approved,Confidential,SAP/DOCS/DOC-10085.pdf,2023-06-18,2023-10-14
DOC-10086,SOP,Standard Operating Procedure - DOC-10086,Program Management,ELP-01,OWN-007,Active,v5.1,2025-12-05,2027-06-08,2026-02-18,2026-12-06,Missing,Confidential,SAP/DOCS/DOC-10086.pdf,2025-10-21,2026-12-01
DOC-10087,Compliance Document,Regulatory Compliance Document - DOC-10087,Program Management,CHI-02,OWN-008,Active,v3.5,2025-02-14,2025-10-30,2025-12-02,2026-11-09,Approved,Internal,SAP/DOCS/DOC-10087.pdf,2025-02-03,2026-11-26
DOC-10088,Contract,Service Contract Agreement - DOC-10088,Program Management,QRO-01,OWN-049,Active,v4.7,2024-09-11,2025-09-03,2025-08-15,2026-03-22,Missing,Public,SAP/DOCS/DOC-10088.pdf,2024-08-29,2026-03-30
DOC-10089,Work Instruction,Operational Work Instruction - DOC-10089,Engineering,ELP-01,OWN-041,Expired,v4.7,2026-07-04,2028-10-11,2027-06-18,2028-03-06,Missing,Restricted,SAP/DOCS/DOC-10089.pdf,2026-05-23,2028-02-29
DOC-10090,Quality Record,Quality Inspection Record - DOC-10090,Finance,QRO-01,OWN-003,Active,v1.1,2026-01-31,2027-06-12,2026-10-24,2027-08-15,Approved,Confidential,SAP/DOCS/DOC-10090.pdf,2026-01-26,2027-10-18
DOC-10091,Work Instruction,Operational Work Instruction - DOC-10091,Supply Chain,ELP-01,OWN-013,Active,v2.0,2026-05-05,2025-08-31,2027-03-23,2028-03-03,Approved,Internal,SAP/DOCS/DOC-10091.pdf,2026-05-02,2027-08-07
DOC-10092,Compliance Document,Regulatory Compliance Document - DOC-10092,Operations,ELP-01,OWN-034,Active,v3.4,2024-03-14,2025-05-21,2024-11-23,2025-09-11,Approved,Internal,SAP/DOCS/DOC-10092.pdf,2024-03-11,2025-04-12
DOC-10093,Compliance Document,Regulatory Compliance Document - DOC-10093,Supply Chain,QRO-01,OWN-044,Expired,v5.2,2025-02-11,2026-07-13,2025-04-30,2026-03-18,Approved,Internal,SAP/DOCS/DOC-10093.pdf,2025-02-06,2026-01-14
DOC-10094,Compliance Document,Regulatory Compliance Document - DOC-10094,Program Management,ELP-01,OWN-039,Active,v5.6,2025-03-29,2027-07-28,2025-11-14,2026-06-15,Pending,Public,SAP/DOCS/DOC-10094.pdf,2025-03-09,2026-12-28
DOC-10095,Contract,Service Contract Agreement - DOC-10095,Quality,CHI-02,OWN-024,Active,v2.5,2026-03-12,2025-08-31,2026-11-13,2025-10-25,Approved,Internal,SAP/DOCS/DOC-10095.pdf,2026-03-06,2027-07-17
DOC-10096,Contract,Service Contract Agreement - DOC-10096,,CHI-02,OWN-003,Active,v5.2,2024-11-25,2026-10-25,2025-09-27,2026-08-07,Approved,Restricted,SAP/DOCS/DOC-10096.pdf,2024-11-18,2026-07-23
DOC-10097,Contract,Service Contract Agreement - DOC-10097,Quality,QRO-01,OWN-044,Active,v5.4,2024-03-26,2024-11-05,2024-11-21,2025-08-21,Pending,Restricted,SAP/DOCS/DOC-10097.pdf,2024-02-26,2025-05-31
DOC-10098,Contract,Service Contract Agreement - DOC-10098,Quality,CHI-02,OWN-030,Active,v5.8,2025-11-21,2027-05-31,2026-10-09,2027-07-28,Pending,Confidential,SAP/DOCS/DOC-10098.pdf,2025-11-08,2027-01-11
DOC-10099,Quality Record,Quality Inspection Record - DOC-10099,Supply Chain,CHI-02,OWN-036,Active,v5.1,2024-08-21,2026-12-05,2025-05-24,2026-02-23,Missing,Confidential,,2024-08-17,2025-06-05
DOC-10100,SOP,Standard Operating Procedure - DOC-10100,Finance,ELP-01,,Active,v4.0,2026-02-17,2027-11-06,2026-05-04,2025-10-25,Rejected,Restricted,SAP/DOCS/DOC-10100.pdf,2026-02-07,2027-03-20
DOC-10101,Contract,Service Contract Agreement - DOC-10101,Engineering,MTY-01,OWN-007,Active,v2.2,2023-10-01,2024-11-13,2023-11-14,2024-08-01,Pending,Confidential,SAP/DOCS/DOC-10101.pdf,2023-09-07,2023-10-17
DOC-10102,Compliance Document,Regulatory Compliance Document - DOC-10102,Operations,CHI-01,OWN-002,Active,v5.9,2025-12-07,2025-08-31,2026-01-08,2026-07-27,Approved,Confidential,SAP/DOCS/DOC-10102.pdf,2025-11-08,2027-05-03
DOC-10103,SOP,Standard Operating Procedure - DOC-10103,Supply Chain,QRO-01,OWN-040,Active,v4.9,2023-12-02,2025-01-29,2024-08-02,2025-07-11,Approved,Internal,SAP/DOCS/DOC-10103.pdf,2023-11-28,2025-05-30
DOC-10104,Quality Record,Quality Inspection Record - DOC-10104,Supply Chain,QRO-01,OWN-023,Active,,2024-01-31,2025-10-11,2024-03-01,2025-02-01,Approved,Internal,SAP/DOCS/DOC-10104.pdf,2024-01-12,2025-01-16
DOC-10105,Quality Record,Quality Inspection Record - DOC-10105,Program Management,CHI-01,OWN-003,Active,v3.0,2026-03-03,2025-08-31,2026-10-18,2027-08-14,Approved,Restricted,SAP/DOCS/DOC-10105.pdf,2026-01-26,2027-01-27
DOC-10106,SOP,Standard Operating Procedure - DOC-10106,Compliance,CHI-02,OWN-023,Active,v2.7,2023-11-29,2025-05-02,2024-03-06,2024-09-13,Approved,Confidential,SAP/DOCS/DOC-10106.pdf,2023-10-22,2025-02-24
DOC-10107,Contract,Service Contract Agreement - DOC-10107,Program Management,QRO-01,OWN-013,Active,v3.8,2025-10-19,2027-02-11,2026-03-01,2026-09-08,Rejected,Internal,SAP/DOCS/DOC-10107.pdf,2025-10-16,2026-11-28
DOC-10108,Work Instruction,Operational Work Instruction - DOC-10108,Operations,ELP-01,OWN-022,Active,v4.6,2024-05-07,2025-11-03,2024-06-30,,Approved,Confidential,SAP/DOCS/DOC-10108.pdf,2024-04-18,2025-07-13
DOC-10109,Contract,Service Contract Agreement - DOC-10109,Engineering,CHI-01,OWN-047,Active,v2.8,2026-01-29,2025-08-31,2026-07-14,2027-01-31,Approved,Internal,SAP/DOCS/DOC-10109.pdf,2026-01-05,2026-11-02
DOC-10110,NDA,Non-Disclosure Agreement - DOC-10110,Finance,,OWN-028,Active,v4.0,2024-12-08,2026-09-05,2025-11-11,2026-11-09,Approved,Internal,SAP/DOCS/DOC-10110.pdf,2024-11-18,2025-11-15
DOC-10111,SOP,Standard Operating Procedure - DOC-10111,Program Management,QRO-01,OWN-024,Expired,v2.0,2023-07-24,2025-12-07,2024-07-14,2025-04-23,Approved,Confidential,SAP/DOCS/DOC-10111.pdf,2023-07-19,2023-12-13
